ctg_id	tu_id
CCTG1	CTU1
CCTG2	CTU2
CCTG3	CTU3
CCTG4	CTU4
CCTG5	CTU5
CCTG6	CTU6
CCTG6	CTU7
CCTG6	CTU9
CCTG6	CTU10
CCTG7	CTU8
CCTG8	CTU11
CCTG9	CTU13
CCTG9	CTU14
CCTG9	CTU15
CCTG9	CTU16
CCTG10	CTU12
CCTG11	CTU17
CCTG11	CTU18
CCTG11	CTU19
CCTG12	CTU20
CCTG13	CTU22
CCTG14	CTU21
CCTG14	CTU23
CCTG15	CTU24
CCTG16	CTU25
CCTG16	CTU29
CCTG16	CTU30
CCTG17	CTU26
CCTG17	CTU27
CCTG17	CTU28
CCTG17	CTU33
CCTG17	CTU34
CCTG18	CTU31
CCTG18	CTU32
CCTG19	CTU35
CCTG20	CTU37
CCTG20	CTU38
CCTG20	CTU39
CCTG21	CTU40
CCTG22	CTU41
CCTG23	CTU42
CCTG23	CTU44
CCTG23	CTU45
CCTG23	CTU46
CCTG24	CTU43
CCTG25	CTU47
CCTG26	CTU48
CCTG27	CTU49
CCTG27	CTU50
CCTG28	CTU51
CCTG28	CTU52
CCTG28	CTU53
CCTG28	CTU54
CCTG28	CTU55
CCTG28	CTU56
CCTG29	CTU57
CCTG30	CTU58
CCTG30	CTU59
CCTG31	CTU60
CCTG32	CTU61
CCTG32	CTU63
CCTG32	CTU65
CCTG33	CTU62
CCTG33	CTU64
CCTG33	CTU66
CCTG34	CTU67
CCTG35	CTU68
CCTG36	CTU69
CCTG36	CTU70
CCTG37	CTU71
CCTG37	CTU74
CCTG38	CTU72
CCTG38	CTU73
CCTG39	CTU75
CCTG39	CTU76
CCTG39	CTU77
CCTG39	CTU78
CCTG39	CTU79
CCTG39	CTU80
CCTG39	CTU81
CCTG40	CTU82
CCTG41	CTU83
CCTG41	CTU87
CCTG42	CTU84
CCTG42	CTU85
CCTG42	CTU86
CCTG42	CTU88
CCTG43	CTU89
CCTG44	CTU90
CCTG45	CTU91
CCTG46	CTU92
CCTG47	CTU93
CCTG47	CTU94
CCTG48	CTU95
CCTG49	CTU96
CCTG50	CTU97
CCTG50	CTU98
CCTG51	CTU99
CCTG52	CTU100
CCTG52	CTU102
CCTG53	CTU101
CCTG54	CTU103
CCTG54	CTU104
CCTG54	CTU105
CCTG55	CTU106
CCTG55	CTU107
CCTG55	CTU109
CCTG56	CTU108
CCTG57	CTU110
CCTG58	CTU111
CCTG59	CTU112
CCTG59	CTU113
CCTG59	CTU114
CCTG60	CTU115
CCTG61	CTU116
CCTG62	CTU117
CCTG62	CTU118
CCTG62	CTU120
CCTG63	CTU119
CCTG63	CTU121
CCTG64	CTU122
CCTG64	CTU123
CCTG64	CTU124
CCTG65	CTU125
CCTG65	CTU127
CCTG66	CTU126
CCTG67	CTU128
CCTG68	CTU129
CCTG68	CTU130
CCTG68	CTU131
CCTG69	CTU132
CCTG70	CTU133
CCTG70	CTU134
CCTG70	CTU135
CCTG71	CTU136
CCTG72	CTU137
CCTG73	CTU138
CCTG74	CTU139
CCTG75	CTU140
CCTG75	CTU141
CCTG76	CTU142
