tss_id	tu_id	bs_id
CTSS11323	CTU3237	CTFBS1085
CTSS11323	CTU3237	CTFBS1086
CTSS11323	CTU3237	CTFBS1087
CTSS11323	CTU3237	CTFBS1088
CTSS11323	CTU3237	CTFBS1089
CTSS11323	CTU3237	CTFBS1090
CTSS11323	CTU3237	CTFBS1091
CTSS11321	CTU3236	NA
CTSS17034	CTU4855	CTFBS1538
CTSS17034	CTU4855	NA
CTSS17034	CTU4855	CTFBS1539
CTSS17034	CTU4855	CTFBS1540
CTSS25582	CTU7244	CTFBS2253
CTSS25582	CTU7244	CTFBS2254
CTSS25582	CTU7244	CTFBS2255
CTSS25227	CTU7141	CTFBS2197
CTSS25238	CTU7142	NA
NA	CTU1726	CTFBS469
NA	CTU1726	CTFBS470
NA	CTU1726	CTFBS471
CTSS5076	CTU1510	CTFBS400
CTSS7360	CTU2111	CTFBS648
CTSS7360	CTU2111	CTFBS650
CTSS7360	CTU2111	CTFBS655
CTSS7360	CTU2111	CTFBS646
CTSS7360	CTU2111	CTFBS651
CTSS7360	CTU2111	CTFBS644
CTSS7360	CTU2111	CTFBS645
CTSS7360	CTU2111	CTFBS649
CTSS7360	CTU2111	CTFBS652
CTSS7360	CTU2111	CTFBS653
CTSS7360	CTU2111	CTFBS652
CTSS7360	CTU2111	CTFBS653
CTSS7360	CTU2111	CTFBS656
CTSS7360	CTU2111	CTFBS657
CTSS7360	CTU2111	CTFBS656
CTSS7360	CTU2111	CTFBS657
CTSS7360	CTU2111	CTFBS654
CTSS7360	CTU2111	CTFBS647
CTSS7352	CTU2108	CTFBS644
CTSS7352	CTU2108	CTFBS645
CTSS7352	CTU2108	CTFBS649
CTSS7352	CTU2108	CTFBS652
CTSS7352	CTU2108	CTFBS653
CTSS7352	CTU2108	CTFBS656
CTSS7352	CTU2108	CTFBS657
CTSS7352	CTU2108	CTFBS643
CTSS16434	CTU4682	CTFBS1505
CTSS16434	CTU4682	CTFBS1507
CTSS16434	CTU4682	CTFBS1502
CTSS16434	CTU4682	CTFBS1503
CTSS16434	CTU4682	CTFBS1504
CTSS16434	CTU4682	CTFBS1503
CTSS16434	CTU4682	CTFBS1504
CTSS16434	CTU4682	CTFBS1506
CTSS16434	CTU4682	CTFBS1501
CTSS16434	CTU4682	CTFBS1508
CTSS16434	CTU4682	CTFBS1510
CTSS16434	CTU4682	NA
CTSS16434	CTU4682	CTFBS1500
NA	CTU7126	CTFBS2192
NA	CTU7126	CTFBS2193
NA	CTU7126	CTFBS2194
NA	CTU7126	CTFBS2195
NA	CTU7126	CTFBS2196
CTSS26064	CTU7383	CTFBS2298
