promoter_id	tss_id
CPROM1	CTSS3
CPROM2	CTSS4
CPROM3	CTSS5
CPROM4	CTSS6
CPROM5	CTSS7
CPROM6	CTSS8
CPROM6	CTSS9
CPROM6	CTSS10
CPROM6	CTSS11
CPROM6	CTSS12
CPROM7	CTSS13
CPROM8	CTSS14
CPROM9	CTSS15
CPROM10	CTSS16
CPROM11	CTSS17
CPROM12	CTSS18
CPROM13	CTSS19
CPROM14	CTSS20
CPROM15	CTSS21
CPROM16	CTSS22
CPROM17	CTSS23
CPROM18	CTSS24
CPROM19	CTSS25
CPROM20	CTSS26
CPROM21	CTSS27
CPROM22	CTSS28
CPROM23	CTSS29
CPROM23	CTSS30
CPROM24	CTSS31
CPROM25	CTSS32
CPROM26	CTSS33
CPROM27	CTSS34
CPROM28	CTSS35
CPROM29	CTSS36
CPROM30	CTSS37
CPROM31	CTSS38
CPROM32	CTSS39
CPROM33	CTSS40
CPROM34	CTSS41
CPROM35	CTSS42
CPROM36	CTSS43
CPROM37	CTSS44
CPROM38	CTSS45
CPROM39	CTSS46
CPROM40	CTSS47
CPROM41	CTSS48
CPROM42	CTSS49
CPROM43	CTSS50
CPROM44	CTSS51
CPROM45	CTSS52
CPROM46	CTSS53
CPROM47	CTSS54
CPROM48	CTSS55
CPROM48	CTSS56
CPROM48	CTSS57
CPROM49	CTSS58
CPROM50	CTSS59
CPROM51	CTSS60
CPROM52	CTSS61
CPROM53	CTSS62
CPROM54	CTSS63
CPROM54	CTSS64
CPROM55	CTSS65
CPROM56	CTSS66
CPROM57	CTSS67
CPROM57	CTSS68
CPROM58	CTSS69
CPROM59	CTSS70
CPROM60	CTSS71
CPROM60	CTSS72
CPROM60	CTSS73
CPROM60	CTSS74
CPROM61	CTSS75
CPROM62	CTSS76
CPROM63	CTSS77
CPROM64	CTSS78
CPROM65	CTSS79
CPROM65	CTSS80
CPROM66	CTSS81
CPROM67	CTSS82
CPROM68	CTSS83
CPROM69	CTSS84
CPROM70	CTSS85
CPROM71	CTSS86
CPROM72	CTSS87
CPROM73	CTSS88
CPROM73	CTSS89
CPROM74	CTSS90
CPROM75	CTSS91
CPROM75	CTSS92
CPROM76	CTSS93
CPROM77	CTSS94
CPROM78	CTSS95
CPROM78	CTSS96
CPROM79	CTSS97
CPROM80	CTSS98
CPROM80	CTSS99
CPROM81	CTSS100
CPROM82	CTSS101
CPROM83	CTSS102
CPROM84	CTSS103
CPROM85	CTSS104
CPROM86	CTSS105
CPROM87	CTSS106
CPROM88	CTSS107
CPROM88	CTSS108
CPROM89	CTSS109
CPROM89	CTSS110
CPROM90	CTSS111
CPROM90	CTSS113
CPROM91	CTSS112
CPROM92	CTSS114
CPROM92	CTSS115
CPROM93	CTSS116
CPROM94	CTSS117
CPROM95	CTSS118
CPROM95	CTSS119
CPROM95	CTSS120
CPROM95	CTSS121
CPROM96	CTSS122
CPROM97	CTSS123
CPROM98	CTSS124
CPROM98	CTSS125
CPROM99	CTSS126
CPROM99	CTSS127
CPROM100	CTSS128
CPROM100	CTSS129
CPROM101	CTSS130
CPROM102	CTSS131
CPROM103	CTSS132
CPROM103	CTSS133
CPROM104	CTSS134
CPROM104	CTSS135
CPROM104	CTSS136
CPROM105	CTSS137
CPROM106	CTSS138
CPROM107	CTSS139
CPROM107	CTSS140
CPROM108	CTSS141
CPROM109	CTSS142
CPROM110	CTSS143
CPROM111	CTSS144
CPROM112	CTSS145
CPROM113	CTSS146
CPROM114	CTSS147
CPROM115	CTSS148
CPROM116	CTSS149
CPROM117	CTSS150
CPROM118	CTSS151
CPROM119	CTSS152
CPROM120	CTSS153
CPROM121	CTSS154
CPROM122	CTSS155
CPROM123	CTSS156
CPROM124	CTSS157
CPROM125	CTSS158
CPROM126	CTSS159
CPROM127	CTSS160
CPROM128	CTSS161
CPROM129	CTSS162
CPROM129	CTSS163
CPROM129	CTSS164
CPROM130	CTSS165
CPROM130	CTSS166
CPROM130	CTSS167
CPROM131	CTSS168
CPROM132	CTSS169
CPROM133	CTSS170
CPROM134	CTSS171
CPROM135	CTSS172
CPROM135	CTSS173
CPROM135	CTSS174
CPROM136	CTSS175
CPROM136	CTSS176
CPROM137	CTSS177
CPROM138	CTSS178
CPROM139	CTSS179
CPROM140	CTSS180
CPROM141	CTSS181
CPROM142	CTSS182
CPROM143	CTSS183
CPROM144	CTSS184
CPROM145	CTSS185
CPROM146	CTSS186
CPROM147	CTSS187
CPROM148	CTSS188
CPROM149	CTSS189
CPROM150	CTSS190
CPROM151	CTSS191
CPROM152	CTSS192
CPROM153	CTSS193
CPROM154	CTSS194
CPROM155	CTSS195
CPROM156	CTSS196
