ctg_id	start	stop	strand	reported_bnumbers	valid_bnumbers	type
CCTG1	147	3970	+	b0001,b0002,b0003,b0004	b0001,b0002,b0003	CTG
CCTG2	148	310	+	b0001	b0001	CTG
CCTG3	148	5086	+	b0001,b0002,b0003,b0004	b0001,b0002,b0003,b0004	CTG
CCTG4	2580	4869	+	b0002,b0003,b0004	b0003	CTG
CCTG5	2580	5076	+	b0002,b0003,b0004	b0003,b0004	CTG
CCTG6	4978	6481	-	b0006	b0006	CTG
CCTG7	5234	5530	+	b0005	b0005	CTG
CCTG8	6529	7959	-	b0007	b0007	CTG
CCTG9	8190	9721	+	b0008,b0008,b0009	b0008	CTG
CCTG10	8190	10499	+	b0008,b0009	b0008,b0009	CTG
CCTG11	9276	10824	+	b0009	b0009	CTG
CCTG12	9928	10494	-	b0010	b0010	CTG
CCTG13	10643	11356	-	b0011	b0011	CTG
CCTG14	10643	11315	+	b0012	b0012	CTG
CCTG15	11382	11786	-	b0013	b0013	CTG
CCTG16	12047	14160	+	b0014	b0014	CTG
CCTG17	12047	16393	+	b0014,b0015,b0016,b0014,ECK120002604,b0015	b0014,b0015	CTG
CCTG18	12122	16614	+	b0014,b0015,b0016	b0014,b0015,b0016	CTG
CCTG19	13112	16563	+	b0014,b0015,b0016	b0015,b0016	CTG
CCTG20	15444	16692	+	b0016	b0016	CTG
CCTG21	16751	16960	-	b0018,b4412	b0018,b4412	CTG
CCTG22	16952	17006	+	b4413	b4413	CTG
CCTG23	17317	20084	+	b0019,b0020	b0019,b0020	CTG
CCTG24	17453	18695	+	b0019	b0019	CTG
CCTG25	18715	19620	+	b0020	b0020	CTG
CCTG26	19811	20508	-	b0022,ECK120023911,b0021	ECK120023911,b0021,b0022	CTG
CCTG27	20137	21207	-	b0023,b0022,b0021	b0022,b0023	CTG
CCTG28	20566	21210	-	b0023	b0023	CTG
CCTG29	21181	21399	+	b0024	b0024	CTG
CCTG30	21382	25699	+	b0024,b0025,b0026,b0027	b0025,b0026	CTG
CCTG31	21383	27279	+	b0025,b0026,b0027,b0028,b0029	b0025,b0026,b0027,b0028,b0029	CTG
CCTG32	21555	26210	+	b0025,b0026,b0027,b0025,b0026,b0027,b0028	b0026,b0027	CTG
CCTG33	21833	27279	+	b0026,b0027,b0028,b0029	b0026,b0027,b0028,b0029	CTG
CCTG34	22368	25426	+	b0026,b0027	b0026	CTG
CCTG35	22368	26777	+	b0026,b0027,b0028,b0029	b0026,b0027,b0028	CTG
CCTG36	25013	27281	+	b0026,b0027,b0028,b0029,b0027,b0028,b0029	b0027,b0028,b0029	CTG
CCTG37	27263	28257	+	b0030	b0030	CTG
CCTG38	27263	29491	+	b0030,b0031	b0030,b0031	CTG
CCTG39	28287	29649	+	b0031	b0031	CTG
CCTG40	28509	28620	+	ECK125203390	ECK125203390	CTG
CCTG41	29550	33914	+	b0032,b0033	b0032	CTG
CCTG42	29550	34120	+	b0032,b0033	b0032,b0033	CTG
CCTG43	30775	34038	+	b0033	b0033	CTG
CCTG44	34218	34695	+	b0034	b0034	CTG
CCTG45	34781	37824	-	b0037,b0036,b0035	b0035,b0036,b0037	CTG
CCTG46	34781	42037	-	b0040,b0039,b0038,b0037,b0036,b0035	b0035,b0036,b0037,b0038,b0039,b0040	CTG
CCTG47	36192	39939	-	b0039,b0038,b0037	b0037,b0038	CTG
CCTG48	36587	39939	-	b0039,b0038,b0037	b0038	CTG
CCTG49	42324	45662	+	b0041,b0042,b0043,b0044	b0041,b0042,b0043	CTG
CCTG50	42324	46352	+	b0041,b0042,b0043,b0044,b0045,b0041,b0042,b0043,b0044	b0041,b0042,b0043,b0044	CTG
CCTG51	45592	47138	+	b0045	b0045	CTG
CCTG52	47214	49727	+	b0046,b0047	b0046,b0047	CTG
CCTG53	47214	50533	+	b0046,b0047,b0048	b0046,b0047,b0048	CTG
CCTG54	49798	50934	+	b0048	b0048	CTG
CCTG55	50107	52588	-	b0052,b0051,b0050,b0049,b0051,b0050,b0049	b0049,b0050,b0051	CTG
CCTG56	50380	52034	-	b0050,b0049	b0049,b0050	CTG
CCTG57	50380	53416	-	b0052,b0051,b0050,b0049	b0049,b0050,b0051,b0052	CTG
CCTG58	50380	54702	-	b0053,b0052,b0051,b0050,b0049	b0049,b0050,b0051,b0052,b0053	CTG
CCTG59	51268	55358	-	b0054,b0053,b0052,b0051,b0050	b0051,b0052,b0053	CTG
CCTG60	51609	53416	-	b0052,b0051	b0051,b0052	CTG
CCTG61	52427	57336	-	b0054,b0053,b0052	b0052,b0053,b0054	CTG
CCTG62	53026	57241	-	b0054,b0053,b0052	b0053,b0054	CTG
CCTG63	53201	55358	-	b0054,b0053,b0052	b0053	CTG
CCTG64	53979	57241	-	b0054,b0053,b0054	b0054	CTG
CCTG65	57258	58756	+	b0055,b0056,b0055	b0055	CTG
CCTG66	57258	59944	+	b0055,b0056,b0057	b0055,b0056,b0057	CTG
CCTG67	58474	59279	+	b0056,b0057	b0056,b0057	CTG
CCTG68	59610	63358	-	b0059,b0058	b0058,b0059	CTG
CCTG69	60358	63588	-	b0059	b0059	CTG
CCTG70	63299	65803	-	b0060	b0060	CTG
CCTG71	65800	70075	-	b0063,b0062,b0061	b0061,b0062,b0063	CTG
CCTG72	66493	70077	-	b0063,b0062,b0061	b0062,b0063	CTG
CCTG73	70220	72332	+	b0064,b0065	b0064,b0065	CTG
CCTG74	70223	71265	+	b0064	b0064	CTG
CCTG75	71270	72436	+	b0065	b0065	CTG
CCTG76	71714	75608	-	b0068,b0067,b0066	b0066,b0067,b0068	CTG
CCTG77	72229	77338	-	b0069,b4762,b0068,b0067,b0066	b0066,b0067,b0068,b4762,b0069	CTG
CCTG78	73773	77403	-	b0069,b0068,b0067	b0068,b0069	CTG
CCTG79	74871	77339	-	b0069,b0068	b0069	CTG
CCTG80	75516	75608	-	b4762	b4762	CTG
CCTG81	77367	78799	+	b4577,b4662,b0070	b4577,b4662,b0070	CTG
CCTG82	77566	79004	+	b4577,b0070	b0070	CTG
CCTG83	78814	84024	-	b0075,b0074,b0073,b0072,b0071	b0071,b0072,b0073,b0074,b0075	CTG
CCTG84	79817	83581	-	b0074,b0073,b0072	b0073,b0074	CTG
CCTG85	83572	83735	-	b0075	b0075	CTG
CCTG86	84154	85312	+	b0076	b0076	CTG
CCTG87	85420	88613	+	b0077,b0078,b0077,b0078,b0079,b0080	b0077,b0078	CTG
CCTG88	85467	85511	-	b4726	b4726	CTG
CCTG89	85598	89434	+	b0077,b0078,b0079,b0080	b0077,b0078,b0080	CTG
CCTG90	87947	89329	+	b0080	b0080	CTG
CCTG91	87968	91463	+	b0080,b0081,b0082,b0083,b0084	b0080,b0081,b0082,b0083	CTG
CCTG92	89588	91776	+	b0081,b0082,b0083,b0084	b0081,b0082,b0083	CTG
CCTG93	89596	107474	+	b0081,b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096	b0081,b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096	CTG
CCTG94	90010	107474	+	b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096	b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096	CTG
CCTG95	90688	107474	+	b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096	b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096	CTG
CCTG96	102532	104891	+	b0092,b0093,b0094,b0093	b0093	CTG
CCTG97	102742	106431	+	b0092,b0093,b0094,b0095	b0093,b0094	CTG
CCTG98	102867	106456	+	b0093,b0094,b0095	b0093,b0094,b0095	CTG
CCTG99	103560	106985	+	b0093,b0094,b0095,b0096,b0094,b0095	b0094,b0095	CTG
CCTG100	104635	107841	+	b0094,b0095,b0096,b0094,b0095,b0096,b0097	b0095,b0096	CTG
CCTG101	104635	108221	+	b0094,b0095,b0096,b0097	b0095,b0096,b0097	CTG
CCTG102	104636	106456	+	b0095	b0095	CTG
CCTG103	106507	107551	+	b0096	b0096	CTG
CCTG104	106507	110330	+	b0096,b0097,b0098	b0096,b0097	CTG
CCTG105	107667	110827	+	b0097,b0098	b0097	CTG
CCTG106	107667	111029	+	b0097,b0098	b0097,b0098	CTG
CCTG107	107705	111433	+	b0097,b0098,b0099	b0097,b0098,b0099	CTG
CCTG108	111207	113322	-	b0103,b0102,b0101,b0100,b0103,b0102,b0101	b0101,b0102,b0103	CTG
CCTG109	111649	111846	-	b0101	b0101	CTG
CCTG110	113244	113288	+	b4727	b4727	CTG
CCTG111	113395	114735	+	b0104	b0104	CTG
CCTG112	114522	117705	-	b0108,b0107,b0106	b0106,b0107,b0108	CTG
CCTG113	117472	118679	-	b0109,b0108,b0109	b0109	CTG
CCTG114	118701	120423	+	b0110,b0111	b0110,b0111	CTG
