ctg_id	valid_bnumbers	rank	Zika_gene_id
CCTG1	b0001	1	304
CCTG1	b0002	2	305
CCTG1	b0003	3	306
CCTG2	b0001	1	304
CCTG3	b0001	1	304
CCTG3	b0002	2	305
CCTG3	b0003	3	306
CCTG3	b0004	4	307
CCTG4	b0003	1	306
CCTG5	b0003	1	306
CCTG5	b0004	2	307
CCTG6	b0006	1	309
CCTG7	b0005	1	308
CCTG8	b0007	1	310
CCTG9	b0008	1	311
CCTG10	b0008	1	311
CCTG10	b0009	2	312
CCTG11	b0009	1	312
CCTG12	b0010	1	313
CCTG13	b0011	1	314
CCTG14	b0012	1	8204
CCTG15	b0013	1	315
CCTG16	b0014	1	316
CCTG17	b0014	1	316
CCTG17	b0015	2	317
CCTG18	b0014	1	316
CCTG18	b0015	2	317
CCTG18	b0016	3	318
CCTG19	b0015	1	317
CCTG19	b0016	2	318
CCTG20	b0016	1	318
CCTG21	b0018	1	319
CCTG21	b4412	2	320
CCTG22	b4413	1	8795
CCTG23	b0019	1	321
CCTG23	b0020	2	152
CCTG24	b0019	1	321
CCTG25	b0020	1	152
CCTG26	ECK120023911	1	8796
CCTG26	b0021	2	322
CCTG26	b0022	3	323
CCTG27	b0022	1	323
CCTG27	b0023	2	324
CCTG28	b0023	1	324
CCTG29	b0024	1	325
CCTG30	b0025	1	326
CCTG30	b0026	2	327
CCTG31	b0025	1	326
CCTG31	b0026	2	327
CCTG31	b0027	3	328
CCTG31	b0028	4	329
CCTG31	b0029	5	330
CCTG32	b0026	1	327
CCTG32	b0027	2	328
CCTG33	b0026	1	327
CCTG33	b0027	2	328
CCTG33	b0028	3	329
CCTG33	b0029	4	330
CCTG34	b0026	1	327
CCTG35	b0026	1	327
CCTG35	b0027	2	328
CCTG35	b0028	3	329
CCTG36	b0027	1	328
CCTG36	b0028	2	329
CCTG36	b0029	3	330
CCTG37	b0030	1	331
CCTG38	b0030	1	331
CCTG38	b0031	2	332
CCTG39	b0031	1	332
CCTG40	ECK125203390	1	8797
CCTG41	b0032	1	333
CCTG42	b0032	1	333
CCTG42	b0033	2	334
CCTG43	b0033	1	334
