tfbs_id	start	stop	TF_name	TF_bnumber	effect	evidence	confidence	type	alt_id	Zika_gene_id
CTFBS1	17384	17400	NhaR	b0020	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125109818	152
CTFBS2	17406	17422	NhaR	b0020	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125110271	152
CTFBS3	17416	17432	NhaR	b0020	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125109817	152
CTFBS4	17447	17464	NhaR	b0020	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK125109816	152
CTFBS5	28252	28271	ArgP	b2916	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[IC|W|Inferred by curator],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120035032	106
CTFBS6	28272	28291	ArgP	b2916	+	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(SM)|C|cross validation(SM)],[BPP|S|Binding of purified proteins]	Confirmed	TFBS	ECK125258712	106
CTFBS7	29240	29252	IHF	b0912	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120013157	110
CTFBS8	29240	29252	IHF	b0912	-	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120013157	110
CTFBS9	29240	29252	IHF	b1712	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120013157	109
CTFBS10	29240	29252	IHF	b1712	-	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120013157	109
CTFBS11	29359	29375	RutR	b1013	+	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[CV(SM)|C|cross validation(SM)],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120033908	190
CTFBS12	29365	29391	PepA	b4260	-	[GEA|W|Gene expression analysis],[IMP|W|Inferred from mutant phenotype],[CV(GEA)|C|cross validation(GEA)],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120020636	11
CTFBS13	29386	29405	Fis	b3261	+	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120033952	76
CTFBS14	29415	29430	PurR	b1658	-	[GEA|W|Gene expression analysis],[CV(GEA)|C|cross validation(GEA)],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120020639	171
CTFBS15	29439	29458	Fis	b3261	+	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120033956	76
CTFBS16	29459	29485	PepA	b4260	-	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins]	Strong	TFBS	ECK120020641	11
CTFBS17	29461	29480	Fis	b3261	+	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120033958	76
CTFBS18	29602	29619	ArgR	b3237	-	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012652	15
CTFBS19	29623	29640	ArgR	b3237	-	[GEA|W|Gene expression analysis],[SM|S|Site mutation],[CV(GEA/SM)|C|cross validation(GEA/SM)],[CV(GEA)|C|cross validation(GEA)],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[CV(SM)|C|cross validation(SM)],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[CV(GEA)|S|cross validation(GEA)]	Confirmed	TFBS	ECK120012654	15
CTFBS20	34156	34169	FNR	b1334	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120013725	79
CTFBS21	34166	34187	CRP	b3357	+	[BCE|W|Binding of cellular extracts],[GEA|W|Gene expression analysis],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120013723	35
CTFBS22	41981	41995	ArcA	b4401	+	[GEA|W|Gene expression analysis],[AIBSCS|W|Automated inference based on similarity to consensus sequences],[CV(GEA)|S|cross validation(GEA)]	Strong	TFBS	ECK120011974	14
