tss_id	start	stop	strand	name	source	condition	HT	classic	prediction	orientation	type	alt_id
CTSS3	38	38	+	thrL	Morett,Storz	triphosphate_enrichment,LB_2.0	1	0	0	UpSenseExten,upstream/sense	TSS	HT_Morett_1,HT_Storz_1
CTSS4	58	58	+	Wade_p1	Wade	NA	1	0	0	NA	TSS	Wade_p1
CTSS5	113	113	+	thrL	Storz	LB_2.0,M63_0.4	1	0	0	upstream/sense	TSS	HT_Storz_2,HT_Storz_3
CTSS6	122	122	-	thrL	Storz	LB_2.0,M63_0.4	1	0	0	upstream/antisense	TSS	HT_Storz_4,HT_Storz_5
CTSS7	123	123	+	Wade_p2	Wade	NA	1	0	0	NA	TSS	Wade_p2
CTSS8	144	144	+	Wade_p3	Wade	NA	1	0	0	NA	TSS	Wade_p3
CTSS9	145	145	+	Wade_p4	Wade	NA	1	0	0	NA	TSS	Wade_p4
CTSS10	146	146	+	Wade_p5	Wade	NA	1	0	0	NA	TSS	Wade_p5
CTSS11	147	147	+	Wade_p6,b0001,b0002,b0003,b0004	Wade,Yan	M9	1	0	0	NA	TSS	Wade_p6,HT_Yan_1
CTSS12	148	148	+	thrL,thrLp	Morett,Storz,Palsson,RegulonDB	triphosphate_enrichment,LB_2.0,M63_0.4,LB_0.4,exponential_phase,glutamine_nitrogen,Sigma70	1	1	0	UpSense,upstream/sense	TSS	HT_Morett_2,HT_Storz_6,HT_Storz_7,HT_Storz_8,HT_Palsson_1,HT_Palsson_2,ECK120010236
CTSS13	153	153	+	Wade_p7	Wade	NA	1	0	0	NA	TSS	Wade_p7
CTSS14	177	177	+	NA	Palsson	stationary_phase,heat_shock	1	0	0	NA	TSS	HT_Palsson_3,HT_Palsson_4
CTSS15	186	186	+	NA	Palsson	stationary_phase	1	0	0	NA	TSS	HT_Palsson_5
CTSS16	195	195	+	NA	Palsson	exponential_phase,stationary_phase,glutamine_nitrogen	1	0	0	NA	TSS	HT_Palsson_6,HT_Palsson_7,HT_Palsson_8
CTSS17	311	311	+	thrA	Morett	454_data	1	0	0	NA	TSS	HT_Morett_3
CTSS18	412	412	+	thrA	Storz	LB_2.0	1	0	0	intragenic/sense	TSS	HT_Storz_9
CTSS19	683	683	+	thrA	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_4
CTSS20	688	688	+	thrA	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_5
CTSS21	703	703	+	thrA	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_6
CTSS22	1009	1009	+	thrA	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_7
CTSS23	1176	1176	-	Wade_p2523,thrA	Wade,Morett,Storz	triphosphate_enrichment,LB_2.0,M63_0.4,LB_0.4	1	0	0	InAntiSense,intragenic/antisense	TSS	Wade_p2523,HT_Morett_8,HT_Storz_10,HT_Storz_11,HT_Storz_12
CTSS24	1886	1886	+	thrA	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_9
CTSS25	1965	1965	+	thrA	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_10
CTSS26	2259	2259	-	thrA	Storz	LB_2.0,M63_0.4	1	0	0	intragenic/antisense	TSS	HT_Storz_13,HT_Storz_14
CTSS27	2391	2391	+	thrA	Storz	LB_2.0,LB_0.4	1	0	0	intragenic/sense	TSS	HT_Storz_15,HT_Storz_16
CTSS28	2565	2565	+	Wade_p8	Wade	NA	1	0	0	NA	TSS	Wade_p8
CTSS29	2580	2580	+	b0002,b0003,b0004	Yan	M9,Rich	1	0	0	NA	TSS	HT_Yan_2,HT_Yan_3
CTSS30	2581	2581	+	thrA,thrB	Morett,Storz,Palsson	triphosphate_enrichment,LB_2.0,M63_0.4,LB_0.4,stationary_phase,glutamine_nitrogen,heat_shock	1	0	0	InSense,intragenic/sense,upstream/sense	TSS	HT_Morett_11,HT_Storz_17,HT_Storz_18,HT_Storz_19,HT_Storz_20,HT_Storz_21,HT_Storz_22,HT_Palsson_9,HT_Palsson_10,HT_Palsson_11
CTSS31	2678	2678	+	NA	Palsson	glutamine_nitrogen	1	0	0	NA	TSS	HT_Palsson_12
CTSS32	2690	2690	+	NA	Palsson	stationary_phase,heat_shock	1	0	0	NA	TSS	HT_Palsson_13,HT_Palsson_14
CTSS33	2811	2811	+	thrB	Morett	triphosphate_enrichment	1	0	0	UpSense	TSS	HT_Morett_12
CTSS34	3066	3066	+	thrB	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_13
CTSS35	3157	3157	+	thrB	Morett	454_data	1	0	0	NA	TSS	HT_Morett_14
CTSS36	3368	3368	+	thrB	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_15
CTSS37	3396	3396	+	thrB	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_16
CTSS38	3401	3401	+	thrB	Morett	triphosphate_enrichment	1	0	0	InSense	TSS	HT_Morett_17
CTSS39	3479	3479	+	thrB	Morett	454_data	1	0	0	NA	TSS	HT_Morett_18
CTSS40	3701	3701	+	thrC	Morett	454_data	1	0	0	NA	TSS	HT_Morett_19
