promoter_id	start	stop	strand	type
CPROM1	38	38	+	Promoter
CPROM2	58	58	+	Promoter
CPROM3	113	113	+	Promoter
CPROM4	122	122	-	Promoter
CPROM5	123	123	+	Promoter
CPROM6	144	148	+	Promoter
CPROM7	153	153	+	Promoter
CPROM8	177	177	+	Promoter
CPROM9	186	186	+	Promoter
CPROM10	195	195	+	Promoter
CPROM11	311	311	+	Promoter
CPROM12	412	412	+	Promoter
CPROM13	683	683	+	Promoter
CPROM14	688	688	+	Promoter
CPROM15	703	703	+	Promoter
CPROM16	1009	1009	+	Promoter
CPROM17	1176	1176	-	Promoter
CPROM18	1886	1886	+	Promoter
CPROM19	1965	1965	+	Promoter
CPROM20	2259	2259	-	Promoter
CPROM21	2391	2391	+	Promoter
CPROM22	2565	2565	+	Promoter
CPROM23	2580	2581	+	Promoter
CPROM24	2678	2678	+	Promoter
CPROM25	2690	2690	+	Promoter
CPROM26	2811	2811	+	Promoter
CPROM27	3066	3066	+	Promoter
CPROM28	3157	3157	+	Promoter
CPROM29	3368	3368	+	Promoter
CPROM30	3396	3396	+	Promoter
CPROM31	3401	3401	+	Promoter
CPROM32	3479	3479	+	Promoter
CPROM33	3701	3701	+	Promoter
CPROM34	3729	3729	-	Promoter
CPROM35	3756	3756	+	Promoter
CPROM36	4241	4241	+	Promoter
CPROM37	4787	4787	+	Promoter
CPROM38	4996	4996	-	Promoter
CPROM39	5078	5078	-	Promoter
CPROM40	5079	5079	+	Promoter
CPROM41	5147	5147	+	Promoter
CPROM42	5652	5652	+	Promoter
CPROM43	5761	5761	+	Promoter
CPROM44	5829	5829	-	Promoter
CPROM45	5925	5925	-	Promoter
CPROM46	5943	5943	+	Promoter
CPROM47	6060	6060	+	Promoter
CPROM48	6477	6484	-	Promoter
CPROM49	6728	6728	+	Promoter
CPROM50	6966	6966	+	Promoter
CPROM51	7398	7398	-	Promoter
CPROM52	7418	7418	+	Promoter
CPROM53	7482	7482	-	Promoter
CPROM54	7625	7626	+	Promoter
CPROM55	8014	8014	-	Promoter
CPROM56	8042	8042	+	Promoter
CPROM57	8052	8053	-	Promoter
CPROM58	8094	8094	+	Promoter
CPROM59	8168	8168	-	Promoter
CPROM60	8190	8193	+	Promoter
CPROM61	8198	8198	+	Promoter
CPROM62	8203	8203	+	Promoter
CPROM63	8211	8211	+	Promoter
CPROM64	8226	8226	-	Promoter
CPROM65	8229	8232	+	Promoter
CPROM66	8237	8237	+	Promoter
CPROM67	8319	8319	-	Promoter
CPROM68	8352	8352	+	Promoter
CPROM69	8443	8443	-	Promoter
CPROM70	8542	8542	-	Promoter
CPROM71	8581	8581	-	Promoter
CPROM72	8638	8638	+	Promoter
CPROM73	8858	8860	-	Promoter
CPROM74	9213	9213	-	Promoter
CPROM75	9276	9277	+	Promoter
CPROM76	9359	9359	-	Promoter
CPROM77	10476	10476	-	Promoter
CPROM78	10563	10564	-	Promoter
CPROM79	10584	10584	+	Promoter
CPROM80	10643	10644	+	Promoter
CPROM81	10989	10989	-	Promoter
CPROM82	11017	11017	-	Promoter
CPROM83	11033	11033	-	Promoter
CPROM84	11090	11090	+	Promoter
CPROM85	11407	11407	+	Promoter
CPROM86	11543	11543	+	Promoter
CPROM87	11936	11936	-	Promoter
CPROM88	12047	12048	+	Promoter
CPROM89	12122	12123	+	Promoter
CPROM90	12132	12135	-	Promoter
CPROM91	12133	12133	+	Promoter
CPROM92	12142	12144	+	Promoter
CPROM93	12381	12381	-	Promoter
CPROM94	12891	12891	+	Promoter
CPROM95	13044	13052	+	Promoter
CPROM96	13058	13058	+	Promoter
CPROM97	13064	13064	+	Promoter
CPROM98	13082	13083	+	Promoter
CPROM99	13111	13112	+	Promoter
CPROM100	13127	13129	+	Promoter
CPROM101	13619	13619	+	Promoter
CPROM102	13932	13932	+	Promoter
CPROM103	14092	14095	-	Promoter
CPROM104	14534	14536	+	Promoter
CPROM105	14884	14884	+	Promoter
CPROM106	15080	15080	+	Promoter
CPROM107	15441	15444	+	Promoter
CPROM108	15463	15463	+	Promoter
CPROM109	15553	15553	+	Promoter
CPROM110	16003	16003	-	Promoter
CPROM111	16296	16296	-	Promoter
CPROM112	16460	16460	-	Promoter
CPROM113	16560	16560	-	Promoter
CPROM114	16872	16872	+	Promoter
CPROM115	16949	16949	-	Promoter
CPROM116	16952	16952	+	Promoter
CPROM117	16961	16961	-	Promoter
CPROM118	16996	16996	+	Promoter
CPROM119	17007	17007	-	Promoter
CPROM120	17053	17053	-	Promoter
CPROM121	17143	17143	-	Promoter
CPROM122	17151	17151	-	Promoter
CPROM123	17215	17215	+	Promoter
CPROM124	17224	17224	+	Promoter
CPROM125	17311	17311	+	Promoter
CPROM126	17317	17317	+	Promoter
CPROM127	17374	17374	-	Promoter
CPROM128	17414	17414	-	Promoter
CPROM129	17422	17426	+	Promoter
CPROM130	17453	17458	+	Promoter
CPROM131	17589	17589	-	Promoter
CPROM132	17725	17725	-	Promoter
CPROM133	17981	17981	+	Promoter
CPROM134	17989	17989	-	Promoter
CPROM135	18023	18025	+	Promoter
CPROM136	18373	18374	+	Promoter
CPROM137	18486	18486	+	Promoter
CPROM138	18553	18553	+	Promoter
CPROM139	19132	19132	-	Promoter
CPROM140	19155	19155	+	Promoter
CPROM141	19187	19187	+	Promoter
CPROM142	19486	19486	+	Promoter
CPROM143	19511	19511	-	Promoter
CPROM144	19532	19532	+	Promoter
CPROM145	19659	19659	-	Promoter
CPROM146	19677	19677	+	Promoter
CPROM147	19759	19759	+	Promoter
CPROM148	19773	19773	-	Promoter
CPROM149	19831	19831	+	Promoter
CPROM150	20278	20278	+	Promoter
CPROM151	20342	20342	+	Promoter
CPROM152	20526	20526	-	Promoter
CPROM153	20562	20562	-	Promoter
CPROM154	20678	20678	-	Promoter
CPROM155	20859	20859	+	Promoter
CPROM156	20898	20898	-	Promoter
CPROM157	20910	20910	-	Promoter
CPROM158	20984	20986	+	Promoter
CPROM159	21006	21007	+	Promoter
CPROM160	21020	21020	-	Promoter
CPROM161	21045	21045	-	Promoter
CPROM162	21094	21098	-	Promoter
CPROM163	21112	21125	-	Promoter
CPROM164	21113	21113	+	Promoter
CPROM165	21155	21159	-	Promoter
CPROM166	21207	21213	-	Promoter
CPROM167	21382	21383	+	Promoter
CPROM168	21555	21556	+	Promoter
CPROM169	21771	21771	+	Promoter
CPROM170	21833	21837	+	Promoter
CPROM171	22024	22024	+	Promoter
CPROM172	22034	22034	+	Promoter
CPROM173	22220	22222	+	Promoter
CPROM174	22228	22229	+	Promoter
CPROM175	22244	22244	+	Promoter
CPROM176	22262	22262	+	Promoter
CPROM177	22279	22279	+	Promoter
CPROM178	22306	22306	+	Promoter
CPROM179	22368	22371	+	Promoter
CPROM180	22707	22707	-	Promoter
CPROM181	23007	23007	+	Promoter
CPROM182	23116	23116	+	Promoter
CPROM183	23267	23267	+	Promoter
CPROM184	23888	23888	+	Promoter
CPROM185	24198	24198	+	Promoter
CPROM186	24243	24243	+	Promoter
CPROM187	24351	24351	+	Promoter
CPROM188	24709	24709	+	Promoter
CPROM189	24918	24918	+	Promoter
CPROM190	25013	25016	+	Promoter
CPROM191	25100	25100	+	Promoter
CPROM192	25191	25191	+	Promoter
CPROM193	25344	25344	-	Promoter
CPROM194	26450	26450	+	Promoter
CPROM195	26476	26476	-	Promoter
CPROM196	27024	27024	+	Promoter
CPROM197	27114	27114	+	Promoter
CPROM198	27263	27264	+	Promoter
CPROM199	27727	27727	-	Promoter
