tu_id	start	stop	strand	source	tu_name	operon_name	init_type	term_type	reported_bnumbers	valid_bnumbers	flag_genes	classic	HT	orphan	type	alt_id
CTU1	147	3970	+	PB_M9_longestRead	thrL_thrA_thrB	thrL,thrA,thrB,thrC	HT TSS	long	b0001,b0002,b0003,b0004	b0001,b0002,b0003	1	0	1	0	TU	PB_M9_longestRead_1070
CTU2	148	310	+	RegulonDB	thrL	thrL,thrA,thrB,thrC	TSS	TTS	b0001	b0001	0	1	0	0	TU	ECK125145761_ECK120010236_ECK120033737
CTU3	148	5086	+	RegulonDB	thrL_thrA_thrB_thrC	thrL,thrA,thrB,thrC	TSS	TTS	b0001,b0002,b0003,b0004	b0001,b0002,b0003,b0004	0	1	0	0	TU	ECK120009369_ECK120010236_ECK125285312
CTU4	2580	4869	+	PB_Rich_longestRead	thrB	thrL,thrA,thrB,thrC	HT TSS	long	b0002,b0003,b0004	b0003	1	0	1	0	TU	PB_Rich_longestRead_943
CTU5	2580	5076	+	PB_M9_longestRead	thrB_thrC	thrL,thrA,thrB,thrC	HT TSS	long	b0002,b0003,b0004	b0003,b0004	1	0	1	0	TU	PB_M9_longestRead_1071
CTU6	4978	6481	-	PB_Rich_longestRead	yaaA	yaaA	HT TSS	long	b0006	b0006	0	0	1	0	TU	PB_Rich_longestRead_1
CTU7	5108	6481	-	PB_M9_longestRead	yaaA	yaaA	HT TSS	long	b0006	b0006	0	0	1	0	TU	PB_M9_longestRead_1
CTU8	5234	5530	+	RegulonDB	yaaX	yaaX	gene	gene	b0005	b0005	0	1	0	0	TU	ECK120026504_NA_NA
CTU9	5455	6481	-	PB_Rich_definedEnd	yaaA	yaaA	HT TSS	HT TTS	b0006	b0006	0	0	1	0	TU	PB_Rich_definedEnd_1
CTU10	5683	6459	-	RegulonDB	yaaA	yaaA	gene	gene	b0006	b0006	0	1	0	0	TU	ECK120026505_NA_NA
CTU11	6529	7959	-	RegulonDB	yaaJ	yaaJ	gene	gene	b0007	b0007	0	1	0	0	TU	ECK120026506_NA_NA
CTU12	8190	10499	+	PB_Rich_longestRead	talB_mog	talB,mog	HT TSS	long	b0008,b0009	b0008,b0009	0	0	1	0	TU	PB_Rich_longestRead_944
CTU13	8190	9230	+	PB_M9_definedEnd	talB	talB,mog	HT TSS	HT TTS	b0008	b0008	0	0	1	0	TU	PB_M9_definedEnd_208,PB_Rich_definedEnd_214
CTU14	8190	9721	+	PB_M9_longestRead	talB	talB,mog	HT TSS	long	b0008,b0009	b0008	1	0	1	0	TU	PB_M9_longestRead_1072
CTU15	8191	9226	+	RegulonDB	talB	talB,mog	TSS	TTS	b0008	b0008	0	1	0	0	TU	ECK120015352_ECK120034390_ECK120015459
CTU16	8229	9230	+	PB_M9_longestRead	talB	talB,mog	HT TSS	long	b0008	b0008	0	0	1	0	TU	PB_M9_longestRead_1073
CTU17	9276	10590	+	PB_M9_longestRead	mog	talB,mog	HT TSS	long	b0009	b0009	0	0	1	0	TU	PB_M9_longestRead_1074
CTU18	9276	10824	+	PB_Rich_longestRead	mog	talB,mog	HT TSS	long	b0009	b0009	0	0	1	0	TU	PB_Rich_longestRead_945
CTU19	9306	9893	+	RegulonDB	mog	talB,mog	gene	gene	b0009	b0009	0	1	0	0	TU	ECK120026507_NA_NA
