"Consensus_bnumber"	"Consensus_symbol"	"Consensus_start"	"Consensus_stop"	"Consensus_strand"	"Consensus_TF"	"gene_synonyms"	"product_synonyms"	"RegulonDB_gene_id"	"RegulonDB_symbol"	"RegulonDB_bnumber"	"RegulonDB_strand"	"RegulonDB_type"	"RegulonDB_product_id"	"RegulonDB_product_name"	"RegulonDB_product_type"	"Zika_bnumber"	"Zika_symbol"	"Zika_essentiality"	"Zika_product"	"Zika_strand"	"Zika_type"	"Zika_gene_id"	"RegulonDB_start"	"RegulonDB_stop"	"RegulonDB_TF"	"Zika_start"	"Zika_stop"	"Zika_TF"
"b0001"	"thrL"	190	255	"+"	0	"b0001,ECK0001,ECK120001251,EG11277,thrL"	"ECK120005727,NP_414542.1,ThrL"	"ECK120001251"	"thrL"	"b0001"	"+"	NA	"ECK120005727"	"<i>thr</i> operon leader peptide"	NA	"b0001"	"thrL"	NA	"thr operon leader peptide"	"+"	"CDS"	"304"	190	255	0	190	255	NA
"b0002"	"thrA"	337	2799	"+"	0	"b0002,ECK0002,ECK120000987,EG10998,Hs,thrA,thrA1,thrA2,thrD"	"ECK120005463,NP_414543.1,ThrA,ThrD"	"ECK120000987"	"thrA"	"b0002"	"+"	NA	"ECK120005463"	"fused aspartate kinase/homoserine dehydrogenase 1"	NA	"b0002"	"thrA"	NA	"fused aspartate kinase/homoserine dehydrogenase 1"	"+"	"CDS"	"305"	337	2799	0	337	2799	NA
"b0003"	"thrB"	2801	3733	"+"	0	"b0003,ECK0003,ECK120000988,EG10999,thrB"	"ECK120005464,NP_414544.1,ThrB"	"ECK120000988"	"thrB"	"b0003"	"+"	NA	"ECK120005464"	"homoserine kinase"	NA	"b0003"	"thrB"	NA	"homoserine kinase"	"+"	"CDS"	"306"	2801	3733	0	2801	3733	NA
"b0004"	"thrC"	3734	5020	"+"	0	"b0004,ECK0004,ECK120000989,EG11000,thrC"	"ECK120005465,NP_414545.1,ThrC"	"ECK120000989"	"thrC"	"b0004"	"+"	NA	"ECK120005465"	"threonine synthase"	NA	"b0004"	"thrC"	NA	"threonine synthase"	"+"	"CDS"	"307"	3734	5020	0	3734	5020	NA
"b0005"	"yaaX"	5234	5530	"+"	0	"b0005,ECK0005,ECK120002701,G6081,yaaX"	"ECK120007175,NP_414546.1,YaaX"	"ECK120002701"	"yaaX"	"b0005"	"+"	NA	"ECK120007175"	"DUF2502 domain-containing protein YaaX"	NA	"b0005"	"yaaX"	NA	"DUF2502 domain-containing protein YaaX"	"+"	"CDS"	"308"	5234	5530	0	5234	5530	NA
"b0006"	"yaaA"	5683	6459	"-"	0	"b0006,ECK0006,ECK120000009,EG10011,yaaA"	"ECK120004485,NP_414547.1,protein that reduces intracellular iron levels under peroxide stress,YaaA"	"ECK120000009"	"yaaA"	"b0006"	"-"	NA	"ECK120004485"	"peroxide stress resistance protein YaaA"	NA	"b0006"	"yaaA"	NA	"peroxide stress resistance protein YaaA"	"-"	"CDS"	"309"	5683	6459	0	5683	6459	NA
"b0007"	"yaaJ"	6529	7959	"-"	0	"b0007,ECK0007,ECK120001508,EG11555,yaaJ"	"ECK120005984,NP_414548.1,YaaJ"	"ECK120001508"	"yaaJ"	"b0007"	"-"	NA	"ECK120005984"	"putative transporter YaaJ"	NA	"b0007"	"yaaJ"	NA	"putative transporter YaaJ"	"-"	"CDS"	"310"	6529	7959	0	6529	7959	NA
"b0008"	"talB"	8238	9191	"+"	0	"b0008,ECK0008,ECK120001509,EG11556,talB,yaaK"	"ECK120005985,NP_414549.1,TalB,YaaK"	"ECK120001509"	"talB"	"b0008"	"+"	NA	"ECK120005985"	"transaldolase B"	NA	"b0008"	"talB"	NA	"transaldolase B"	"+"	"CDS"	"311"	8238	9191	0	8238	9191	NA
"b0009"	"mog"	9306	9893	"+"	0	"b0009,bisD,chlG,ECK0009,ECK120001467,EG11511,mog,mogA,yaaG"	"BisD,ChlG,ECK120005943,Mog,MogA,NP_414550.1,YaaG"	"ECK120001467"	"mog"	"b0009"	"+"	NA	"ECK120005943"	"molybdopterin adenylyltransferase"	NA	"b0009"	"mog"	NA	"molybdopterin adenylyltransferase"	"+"	"CDS"	"312"	9306	9893	0	9306	9893	NA
"b0010"	"satP"	9928	10494	"-"	0	"b0010,ECK0010,ECK120001468,EG11512,satP,yaaH"	"ECK120005944,NP_414551.1,SatP,YaaH"	"ECK120001468"	"satP"	"b0010"	"-"	NA	"ECK120005944"	"acetate/succinate:H<sup>+</sup> symporter"	NA	"b0010"	"satP"	NA	"acetate/succinate:H(+) symporter"	"-"	"CDS"	"313"	9928	10494	0	9928	10494	NA
"b0011"	"yaaW"	10643	11356	"-"	0	"b0011,ECK0011,ECK120002702,G6082,yaaW"	"ECK120007176,NP_414552.1,YaaW"	"ECK120002702"	"yaaW"	"b0011"	"-"	NA	"ECK120007176"	"putative enzyme-specific chaperone YaaW"	NA	"b0011"	"yaaW"	NA	"putative enzyme-specific chaperone YaaW"	"-"	"CDS"	"314"	10643	11356	0	10643	11356	NA
"b0012"	"mbiA"	10830	11315	"+"	0	"b0012,ECK0012,ECK120001465,EG11509,htgA,htpY,mbiA"	"ECK120005941,HtgA,HtpY,MbiA"	"ECK120001465"	"mbiA"	"b0012"	"+"	NA	"ECK120005941"	"uncharacterized protein MbiA"	NA	"b0012"	"mbiA"	NA	"uncharacterized protein MbiA"	"+"	"CDS"	"8204"	10830	11315	0	10830	11315	0
"b0013"	"yaaI"	11382	11786	"-"	0	"b0013,ECK0013,ECK120004453,G8202,yaaI"	"ECK120008889,NP_414554.1,YaaI"	"ECK120004453"	"yaaI"	"b0013"	"-"	NA	"ECK120008889"	"DUF2541 domain-containing protein YaaI"	NA	"b0013"	"yaaI"	NA	"DUF2541 domain-containing protein YaaI"	"-"	"CDS"	"315"	11382	11786	0	11382	11786	NA
"b0014"	"dnaK"	12163	14079	"+"	0	"b0014,dnaK,ECK0014,ECK120000235,EG10241,groPAB,groPC,groPF,grpC,grpF,seg"	"DnaK,ECK120004711,GrpC,GrpF,heat shock protein 70,Hsp70,NP_414555.1,Seg"	"ECK120000235"	"dnaK"	"b0014"	"+"	NA	"ECK120004711"	"chaperone protein DnaK"	NA	"b0014"	"dnaK"	NA	"chaperone protein DnaK"	"+"	"CDS"	"316"	12163	14079	0	12163	14079	NA
"ECK120002604"	"tpke11"	14080	14167	"+"	0	"ECK120002604,G0-8893,tpke11"	""	"ECK120002604"	"tpke11"	NA	"+"	"Phantom Gene"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14080	14167	0	NA	NA	NA
"b0015"	"dnaJ"	14168	15298	"+"	0	"b0015,dnaJ,ECK0015,ECK120000234,EG10240,groP,grpC"	"DnaJ,DnaK co-chaperone Hsp40,ECK120004710,GroP,GrpC,NP_414556.1"	"ECK120000234"	"dnaJ"	"b0015"	"+"	NA	"ECK120004710"	"chaperone protein DnaJ"	NA	"b0015"	"dnaJ"	NA	"chaperone protein DnaJ"	"+"	"CDS"	"317"	14168	15298	0	14168	15298	NA
"b0016"	"insL1"	15445	16557	"+"	0	"b0016,ECK0016,ECK120002703,G6083,insL-1,insL1,yi81-1"	"ECK120007177,InsL1,NP_414557.1"	"ECK120002703"	"insL1"	"b0016"	"+"	NA	"ECK120007177"	"IS186/IS421 transposase"	NA	"b0016"	"insL-1"	NA	"IS186/IS421 transposase"	"+"	"CDS"	"318"	15445	16557	0	15445	16557	NA
"b0017"	"b0017"	15869	16177	"-"	0	"b0017,ECK120002704,G6084,yi82_1"	""	"ECK120002704"	NA	"b0017"	"-"	"Phantom Gene"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15869	16177	0	NA	NA	NA
"b4412"	"hokC"	16751	16903	"-"	0	"b4412,ECK0017,ECK120002652,G0-9563,gef,hokC"	" Gef toxin; interferes with membrane function when in excess,ECK120007126,Gef,HokC,YP_025292.1"	"ECK120002652"	"hokC"	"b4412"	"-"	NA	"ECK120007126"	"protein HokC"	NA	"b4412"	"hokC"	NA	"protein HokC"	"-"	"CDS"	"320"	16751	16903	0	16751	16903	NA
"b0018"	"mokC"	16751	16960	"-"	0	"b0018,ECK0018,ECK120000366,EG10373,gefL,mokC"	"ECK120004842,GefL,MokC,NP_414559.1,regulatory peptide whose translation enables hokC (gef) expression"	"ECK120000366"	"mokC"	"b0018"	"-"	NA	"ECK120004842"	"regulatory protein MokC"	NA	"b0018"	"mokC"	NA	"regulatory protein MokC"	"-"	"CDS"	"319"	16751	16960	0	16751	16960	NA
"b4413"	"sokC"	16952	17006	"+"	0	"b4413,b4413_ncRNA_16951_17006,ECK0019,ECK120002653,G0-9581,sof,sokC"	"ECK120007127,sof,SokC"	"ECK120002653"	"sokC"	"b4413"	"+"	NA	"ECK120007127"	"SokC"	"small RNA"	"b4413_ncRNA_16951_17006"	"sokC"	NA	"antisense RNA blocking mokC and hokC translation"	"+"	"ncRNA"	"8795"	16952	17006	0	16952	17006	NA
